"filename", "language", "TypeScript", "CSS", "vue", "XML", "comment", "blank", "total"
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\App.vue", "vue", 0, 0, 148, 0, 0, 17, 165
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\DOMserv.ts", "TypeScript", 14, 0, 0, 0, 0, 2, 16
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\Sadvantages\discount.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\Sadvantages\payment.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\Sadvantages\right-arrow.svg", "XML", 0, 0, 0, 40, 1, 1, 42
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\Sadvantages\support.svg", "XML", 0, 0, 0, 5, 0, 1, 6
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\auth\date.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\auth\login.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\auth\password.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\auth\phone.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\Indoor-pool.svg", "XML", 0, 0, 0, 234, 0, 1, 235
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\aquapark .svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\aquapark.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\childrens-aquapark.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\disco.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\heated-swimming-pool.svg", "XML", 0, 0, 0, 20, 0, 0, 20
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\menu.svg", "XML", 0, 0, 0, 41, 1, 1, 43
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\mini-club.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\pool.svg", "XML", 0, 0, 0, 19, 1, 0, 20
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\pool_88580.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\wi-fi.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\footer\ok.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\footer\viber.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\footer\vk.svg", "XML", 0, 0, 0, 153, 0, 2, 155
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\footer\whatsapp.svg", "XML", 0, 0, 0, 48, 1, 1, 50
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\headphones.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\appComponents\action.vue", "vue", 0, 0, 16, 0, 0, 4, 20
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\appComponents\contacts.vue", "vue", 0, 0, 16, 0, 0, 4, 20
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\appComponents\main.vue", "vue", 0, 0, 129, 0, 1, 9, 139
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\appComponents\tour.css", "CSS", 0, 8, 0, 0, 0, 1, 9
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\appComponents\tour.vue", "vue", 0, 0, 42, 0, 0, 8, 50
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\cardAdmin\cardAdmin.css", "CSS", 0, 16, 0, 0, 0, 0, 16
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\cardAdmin\cardAdmin.vue", "vue", 0, 0, 68, 0, 0, 11, 79
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\errToats.vue", "vue", 0, 0, 27, 0, 0, 8, 35
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\footer\footer.css", "CSS", 0, 39, 0, 0, 0, 0, 39
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\footer\footerComponent.vue", "vue", 0, 0, 27, 0, 0, 5, 32
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\login\login.css", "CSS", 0, 3, 0, 0, 0, 0, 3
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\login\login.vue", "vue", 0, 0, 59, 0, 0, 10, 69
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\popular-tour\popular-tour.vue", "vue", 0, 0, 17, 0, 0, 3, 20
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\privacy-policy\privacyPolicy.css", "CSS", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\privacy-policy\privacyPolicy.vue", "vue", 0, 0, 497, 0, 0, 7, 504
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\register\register.css", "CSS", 0, 39, 0, 0, 0, 1, 40
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\register\register.vue", "vue", 0, 0, 115, 0, 0, 15, 130
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\reset-password\reset-password.vue", "vue", 0, 0, 80, 0, 0, 6, 86
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\toats.vue", "vue", 0, 0, 28, 0, 0, 8, 36
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\toure-card\toure-card.css", "CSS", 0, 21, 0, 0, 0, 0, 21
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\toure-card\toure-card.vue", "vue", 0, 0, 66, 0, 0, 11, 77
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\user-agreement\userAgreement.css", "CSS", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\components\user-agreement\userAgreement.vue", "vue", 0, 0, 121, 0, 0, 4, 125
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\cookie\cookieRW.ts", "TypeScript", 40, 0, 0, 0, 0, 1, 41
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\coral-api\apilib.ts", "TypeScript", 75, 0, 0, 0, 2, 10, 87
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\main.css", "CSS", 0, 121, 0, 0, 1, 9, 131
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\main.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\account\account.css", "CSS", 0, 73, 0, 0, 0, 10, 83
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\account\account.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\account\account.vue", "vue", 0, 0, 132, 0, 0, 23, 155
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\addTour\addTour.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\addTour\addToure.css", "CSS", 0, 212, 0, 0, 0, 5, 217
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\addTour\addToure.vue", "vue", 0, 0, 392, 0, 0, 32, 424
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\adminPanel\adminPanel.css", "CSS", 0, 105, 0, 0, 0, 0, 105
"c:\Users\Reil\Documents\GitHub\CoralTravel\src\page\adminPanel\adminPanel.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
