Date : 2023-06-13 02:00:42
Directory : c:\Users\Reil\Documents\GitHub\CoralTravel\backend
Total : 87 files,  -4197 codes, 0 comments, -275 blanks, all -4472 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         11 |        482 |          9 |         72 |        563 |
| TypeScript |         13 |       -188 |         -3 |        -25 |       -216 |
| XML        |         24 |       -576 |         -4 |         -7 |       -587 |
| CSS        |         16 |     -1,059 |         -1 |        -48 |     -1,108 |
| vue        |         23 |     -2,856 |         -1 |       -267 |     -3,124 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |         87 |     -4,197 |          0 |       -275 |     -4,472 |
| . (Files)                                                                                      |          2 |         40 |          1 |         17 |         58 |
| ..                                                                                             |         76 |     -4,679 |         -9 |       -347 |     -5,035 |
| ..\src                                                                                         |         76 |     -4,679 |         -9 |       -347 |     -5,035 |
| ..\src (Files)                                                                                 |          6 |       -312 |         -2 |        -33 |       -347 |
| ..\src\assets                                                                                  |         24 |       -576 |         -4 |         -7 |       -587 |
| ..\src\assets (Files)                                                                          |          1 |         -1 |          0 |          0 |         -1 |
| ..\src\assets\Sadvantages                                                                      |          4 |        -47 |         -1 |         -2 |        -50 |
| ..\src\assets\auth                                                                             |          4 |         -4 |          0 |          0 |         -4 |
| ..\src\assets\comfort                                                                          |         11 |       -321 |         -2 |         -2 |       -325 |
| ..\src\assets\footer                                                                           |          4 |       -203 |         -1 |         -3 |       -207 |
| ..\src\components                                                                              |         23 |     -1,442 |         -1 |       -115 |     -1,558 |
| ..\src\components (Files)                                                                      |          2 |        -55 |          0 |        -16 |        -71 |
| ..\src\components\appComponents                                                                |          5 |       -211 |         -1 |        -26 |       -238 |
| ..\src\components\cardAdmin                                                                    |          2 |        -84 |          0 |        -11 |        -95 |
| ..\src\components\footer                                                                       |          2 |        -66 |          0 |         -5 |        -71 |
| ..\src\components\login                                                                        |          2 |        -62 |          0 |        -10 |        -72 |
| ..\src\components\popular-tour                                                                 |          1 |        -17 |          0 |         -3 |        -20 |
| ..\src\components\privacy-policy                                                               |          2 |       -501 |          0 |         -7 |       -508 |
| ..\src\components\register                                                                     |          2 |       -154 |          0 |        -16 |       -170 |
| ..\src\components\reset-password                                                               |          1 |        -80 |          0 |         -6 |        -86 |
| ..\src\components\toure-card                                                                   |          2 |        -87 |          0 |        -11 |        -98 |
| ..\src\components\user-agreement                                                               |          2 |       -125 |          0 |         -4 |       -129 |
| ..\src\cookie                                                                                  |          1 |        -40 |          0 |         -1 |        -41 |
| ..\src\coral-api                                                                               |          1 |        -75 |         -2 |        -10 |        -87 |
| ..\src\page                                                                                    |         21 |     -2,234 |          0 |       -181 |     -2,415 |
| ..\src\page\account                                                                            |          3 |       -209 |          0 |        -34 |       -243 |
| ..\src\page\addTour                                                                            |          3 |       -608 |          0 |        -38 |       -646 |
| ..\src\page\adminPanel                                                                         |          3 |       -192 |          0 |         -7 |       -199 |
| ..\src\page\editToure                                                                          |          3 |       -660 |          0 |        -47 |       -707 |
| ..\src\page\editUser                                                                           |          3 |       -190 |          0 |        -25 |       -215 |
| ..\src\page\fullInfoToure                                                                      |          3 |       -300 |          0 |        -23 |       -323 |
| ..\src\page\loginPanel                                                                         |          3 |        -75 |          0 |         -7 |        -82 |
| db-connection                                                                                  |          1 |        153 |          4 |         16 |        173 |
| modules                                                                                        |          8 |        289 |          4 |         39 |        332 |
| modules\admin-panel                                                                            |          1 |         27 |          0 |          7 |         34 |
| modules\media                                                                                  |          1 |         17 |          0 |          6 |         23 |
| modules\tours                                                                                  |          3 |        109 |          2 |         15 |        126 |
| modules\tours (Files)                                                                          |          1 |          8 |          0 |          2 |         10 |
| modules\tours\admin                                                                            |          1 |         68 |          0 |          5 |         73 |
| modules\tours\public                                                                           |          1 |         33 |          2 |          8 |         43 |
| modules\user                                                                                   |          3 |        136 |          2 |         11 |        149 |
| modules\user (Files)                                                                           |          1 |          8 |          0 |          2 |         10 |
| modules\user\admin                                                                             |          1 |         19 |          0 |          3 |         22 |
| modules\user\public                                                                            |          1 |        109 |          2 |          6 |        117 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                       | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Reil\Documents\GitHub\CoralTravel\backend\db-connection\db.connector.js               | JavaScript |        153 |          4 |         16 |        173 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\backend\main.js                                     | JavaScript |         27 |          1 |         14 |         42 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\admin-panel\admin.module.js         | JavaScript |         27 |          0 |          7 |         34 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\media\media.module.js               | JavaScript |         17 |          0 |          6 |         23 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\tours\admin\admin.tours.module.js   | JavaScript |         68 |          0 |          5 |         73 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\tours\public\public.tours.module.js | JavaScript |         33 |          2 |          8 |         43 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\tours\tours.module.js               | JavaScript |          8 |          0 |          2 |         10 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\user\admin\admin.user.module.js     | JavaScript |         19 |          0 |          3 |         22 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\user\public\public.user.module.js   | JavaScript |        109 |          2 |          6 |        117 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\user\user.module.js                 | JavaScript |          8 |          0 |          2 |         10 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\backend\server.data.js                              | JavaScript |         13 |          0 |          3 |         16 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\App.vue                                         | vue        |       -148 |          0 |        -17 |       -165 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\DOMserv.ts                                      | TypeScript |        -14 |          0 |         -2 |        -16 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\Sadvantages\discount.svg                 | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\Sadvantages\payment.svg                  | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\Sadvantages\right-arrow.svg              | XML        |        -40 |         -1 |         -1 |        -42 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\Sadvantages\support.svg                  | XML        |         -5 |          0 |         -1 |         -6 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\auth\date.svg                            | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\auth\login.svg                           | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\auth\password.svg                        | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\auth\phone.svg                           | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\Indoor-pool.svg                  | XML        |       -234 |          0 |         -1 |       -235 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\aquapark .svg                    | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\aquapark.svg                     | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\childrens-aquapark.svg           | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\disco.svg                        | XML        |         -1 |          0 |          0 |         -1 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\heated-swimming-pool.svg         | XML        |        -20 |          0 |          0 |        -20 |
| c:\Users\Reil\Documents\GitHub\CoralTravel\src\assets\comfort\menu.svg                         | XML        |        -41 |         -1 |         -1 |        -43 |
