"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Reil\Documents\GitHub\CoralTravel\backend\db-connection\db.connector.js", "JavaScript", 153, 4, 16, 173
"c:\Users\Reil\Documents\GitHub\CoralTravel\backend\main.js", "JavaScript", 27, 1, 14, 42
"c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\admin-panel\admin.module.js", "JavaScript", 27, 0, 7, 34
"c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\media\media.module.js", "JavaScript", 17, 0, 6, 23
"c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\tours\admin\admin.tours.module.js", "JavaScript", 68, 0, 5, 73
"c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\tours\public\public.tours.module.js", "JavaScript", 33, 2, 8, 43
"c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\tours\tours.module.js", "JavaScript", 8, 0, 2, 10
"c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\user\admin\admin.user.module.js", "JavaScript", 19, 0, 3, 22
"c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\user\public\public.user.module.js", "JavaScript", 109, 2, 6, 117
"c:\Users\Reil\Documents\GitHub\CoralTravel\backend\modules\user\user.module.js", "JavaScript", 8, 0, 2, 10
"c:\Users\Reil\Documents\GitHub\CoralTravel\backend\server.data.js", "JavaScript", 13, 0, 3, 16
"Total", "-", 482, 9, 72, 563
